date,campaign,impressions,adClicks,adCost,CPC,CTR,costPerConversion,newVisits,visits,bounces,organicSearches
20120630,(not set),0,0,0,0,0,0,627,828,359,97
20120701,(not set),0,0,0,0,0,0,1741,2696,815,274
20120702,(not set),0,0,0,0,0,0,3171,6719,1984,718
20120703,(not set),0,0,0,0,0,0,2246,6731,1868,694
20120704,(not set),0,0,0,0,0,0,1978,6055,1576,590
20120705,(not set),0,0,0,0,0,0,1692,5745,1467,529
20120706,(not set),0,0,0,0,0,0,1728,5508,1479,615
20120707,(not set),0,0,0,0,0,0,1010,2860,925,396
20120708,(not set),0,0,0,0,0,0,663,1862,736,262
20120709,(not set),0,0,0,0,0,0,1850,5927,1552,688
20120710,(not set),0,0,0,0,0,0,1716,5812,1783,615
20120711,(not set),0,0,0,0,0,0,1601,5848,1613,560
20120712,(not set),0,0,0,0,0,0,2185,6220,2033,828
20120713,(not set),0,0,0,0,0,0,1850,6086,2306,968
20120714,(not set),0,0,0,0,0,0,1339,3317,1442,578
20120715,(not set),0,0,0,0,0,0,1022,2367,1077,487
20120716,(not set),0,0,0,0,0,0,1935,6700,2373,1053
20120717,(not set),0,0,0,0,0,0,1947,6603,2246,1028
20120718,(not set),0,0,0,0,0,0,2154,6512,2532,1260
20120719,(not set),0,0,0,0,0,0,1795,6469,2258,1114
20120719,tvccampaign/th/TVC_campaign.asp,0,0,0,0,0,0,6,6,0,0
20120720,(not set),0,0,0,0,0,0,1771,6025,2197,925
20120721,(not set),0,0,0,0,0,0,1083,3128,1333,596
20120722,(not set),0,0,0,0,0,0,852,2118,907,487
20120723,(not set),0,0,0,0,0,0,1741,6378,2130,1083
20120724,(not set),0,0,0,0,0,0,2057,6688,2300,1187
20120725,(not set),0,0,0,0,0,0,2118,6816,2398,1162
20120726,(not set),0,0,0,0,0,0,1844,6627,2386,1132
20120727,(not set),0,0,0,0,0,0,1661,6317,2069,1102
20120728,(not set),0,0,0,0,0,0,980,3128,1229,590
20120729,(not set),0,0,0,0,0,0,822,2142,931,542
20120730,(not set),0,0,0,0,0,0,1546,6244,1954,992
20120731,(not set),0,0,0,0,0,0,1454,6451,1966,895
20120801,(not set),0,0,0,0,0,0,1722,5958,2051,1175
20120802,(not set),0,0,0,0,0,0,1016,2635,1083,621
20120803,(not set),0,0,0,0,0,0,1345,4461,1820,755
20120804,(not set),0,0,0,0,0,0,998,2860,1241,602
20120805,(not set),0,0,0,0,0,0,858,2100,968,560
20120806,(not set),0,0,0,0,0,0,1783,6591,2410,1278
20120807,(not set),0,0,0,0,0,0,1722,6451,2373,1175
20120808,(not set),0,0,0,0,0,0,1893,6755,2440,1168
20120809,(not set),0,0,0,0,0,0,1747,5903,2051,1089
20120809,tvccampaign/th/TVC_campaign.asp,0,0,0,0,0,0,6,6,0,0
20120810,(not set),0,0,0,0,0,0,1698,5641,1661,1071
20120811,(not set),0,0,0,0,0,0,1613,3694,1412,663
20120812,(not set),0,0,0,0,0,0,1564,2416,1187,493
20120813,(not set),0,0,0,0,0,0,1528,3104,1394,572
20120814,(not set),0,0,0,0,0,0,2191,6640,2142,1296
20120815,(not set),0,0,0,0,0,0,1826,5477,1747,1150
20120816,(not set),0,0,0,0,0,0,2027,5191,1649,1156
20120817,(not set),0,0,0,0,0,0,1850,5538,1552,1241
20120818,(not set),0,0,0,0,0,0,1576,3755,1290,791
20120819,(not set),0,0,0,0,0,0,1461,2726,1028,663
20120820,(not set),0,0,0,0,0,0,2160,6853,1868,1266
20120820,1ADV-0820-0831-4share-Interests,476443,743,3161.95,4.255652759,0.155947301,0,0,0,0,0
20120820,1ADV-0820-0831-4share-Keywords,776393,710,3155.27,4.444042254,0.091448532,0,0,0,0,0
20120820,1ADV-0820-0831-4share-Placements,237002,288,1511.35,5.247743056,0.121517962,0,0,0,0,0
20120820,1ADV-0820-0831-4share-Topics,1214592,970,3691.61,3.805783505,0.079862209,0,0,0,0,0
20120821,(not set),0,0,0,0,0,0,2252,7199,1887,1381
20120821,1ADV-0820-0831-4share-Interests,450685,767,3105.03,4.048279009,0.170185384,0,0,0,0,0
20120821,1ADV-0820-0831-4share-Keywords,966699,696,3112.11,4.471422414,0.071997592,0,0,0,0,0
20120821,1ADV-0820-0831-4share-Placements,385594,557,3263.17,5.858473968,0.144452455,0,0,0,0,0
20120821,1ADV-0820-0831-4share-Topics,1196218,1019,3625.12,3.557526987,0.085185142,0,0,0,0,0
20120822,(not set),0,0,0,0,0,0,2020,6853,1807,1454
20120822,1ADV-0820-0831-4share-Interests,452910,785,3072.9,3.914522293,0.173323618,0,0,0,0,0
20120822,1ADV-0820-0831-4share-Keywords,856699,755,3073.2,4.070463576,0.088128969,0,0,0,0,0
20120822,1ADV-0820-0831-4share-Placements,488101,602,3216.09,5.342342193,0.123335129,0,0,0,0,0
20120822,1ADV-0820-0831-4share-Topics,1157761,1134,3574.54,3.152151675,0.097947677,0,0,0,0,0
20120823,(not set),0,0,0,0,0,0,2027,6585,1826,1241
20120823,1ADV-0820-0831-4share-Interests,558968,938,3578.5,3.815031983,0.167809248,0,0,0,0,0
20120823,1ADV-0820-0831-4share-Keywords,912092,893,3574.96,4.00331467,0.09790679,0,0,0,0,0
20120823,1ADV-0820-0831-4share-Placements,393273,519,2977.51,5.737013487,0.131969395,0,0,0,0,0
20120823,1ADV-0820-0831-4share-Topics,1095675,1096,3527.98,3.218959854,0.100029662,0,0,0,0,0
20120824,(not set),0,0,0,0,0,0,2014,6597,1905,1138
20120824,1ADV-0820-0831-4share-Interests,464687,985,3627.82,3.68306599,0.211970638,0,0,0,0,0
20120824,1ADV-0820-0831-4share-Keywords,778118,857,3523.79,4.111773629,0.110137537,0,0,0,0,0
20120824,1ADV-0820-0831-4share-Placements,216222,365,2113.74,5.791068493,0.168807984,0,0,0,0,0
20120824,1ADV-0820-0831-4share-Topics,1177730,1141,3589.8,3.146187555,0.096881289,0,0,0,0,0
20120825,(not set),0,0,0,0,0,0,1327,3578,1089,706
20120825,1ADV-0820-0831-4share-Interests,465580,1042,3469.92,3.330057582,0.223806865,0,0,0,0,0
20120825,1ADV-0820-0831-4share-Keywords,699243,882,3485.01,3.951258503,0.126136408,0,0,0,0,0
20120825,1ADV-0820-0831-4share-Placements,211754,357,1985.69,5.562156863,0.168591857,0,0,0,0,0
20120825,1ADV-0820-0831-4share-Topics,1112582,1216,3430.82,2.821398026,0.109295315,0,0,0,0,0
20120826,(not set),0,0,0,0,0,0,1302,2678,907,742
20120826,1ADV-0820-0831-4share-Interests,480236,1056,3467.3,3.28342803,0.219891886,0,0,0,0,0
20120826,1ADV-0820-0831-4share-Keywords,656275,922,3491.04,3.78637744,0.140489886,0,0,0,0,0
20120826,1ADV-0820-0831-4share-Placements,201569,360,1984.62,5.512833333,0.178598892,0,0,0,0,0
20120826,1ADV-0820-0831-4share-Topics,1052317,1237,3429.84,2.772708165,0.11755013,0,0,0,0,0
20120827,(not set),0,0,0,0,0,0,2160,6901,1850,1497
20120827,1ADV-0820-0831-4share-Interests,523990,988,3567.4,3.610728745,0.188553217,0,0,0,0,0
20120827,1ADV-0820-0831-4share-Keywords,791758,883,3597.99,4.074733862,0.111523976,0,0,0,0,0
20120827,1ADV-0820-0831-4share-Placements,210225,358,2042.66,5.70575419,0.170293733,0,0,0,0,0
20120827,1ADV-0820-0831-4share-Topics,1257408,1183,3531.75,2.985418428,0.09408243,0,0,0,0,0
20120828,(not set),0,0,0,0,0,0,2313,7212,2179,1333
20120828,1ADV-0820-0831-4share-Interests,517923,976,3511.35,3.597694672,0.188445001,0,0,0,0,0
20120828,1ADV-0820-0831-4share-Keywords,758833,854,3528.26,4.131451991,0.112541231,0,0,0,0,0
20120828,1ADV-0820-0831-4share-Placements,230500,373,2005.21,5.375898123,0.161822126,0,0,0,0,0
20120828,1ADV-0820-0831-4share-Topics,1304824,1136,3476.34,3.060158451,0.08706155,0,0,0,0,0
20120829,(not set),0,0,0,0,0,0,2081,6986,1887,1357
20120829,1ADV-0820-0831-4share-Interests,525616,1021,3495.98,3.424074437,0.194248273,0,0,0,0,0
20120829,1ADV-0820-0831-4share-Keywords,865870,824,3512.63,4.262900485,0.095164401,0,0,0,0,0
20120829,1ADV-0820-0831-4share-Placements,284674,377,1996.49,5.295729443,0.132432186,0,0,0,0,0
20120829,1ADV-0820-0831-4share-Topics,1363065,1223,3449.15,2.820237122,0.089724261,0,0,0,0,0
20120830,(not set),0,0,0,0,0,0,1850,6579,1582,1345
20120830,1ADV-0820-0831-4share-Interests,492298,992,3457.23,3.485110887,0.201503967,0,0,0,0,0
20120830,1ADV-0820-0831-4share-Keywords,874826,825,3452.48,4.184824242,0.094304467,0,0,0,0,0
20120830,1ADV-0820-0831-4share-Placements,211113,357,1982.84,5.554173669,0.16910375,0,0,0,0,0
20120830,1ADV-0820-0831-4share-Topics,1278737,1173,3417.15,2.913171355,0.091731138,0,0,0,0,0
