campaign,date,impressions,adClicks,adCost,CPC,CTR,costPerConversion,newVisits,visits,bounces,organicSearches
(not set),20130101,0,0,0,0,0,0,1697,2976,517,1664
(not set),20130102,0,0,0,0,0,0,2779,4993,902,2927
(not set),20130103,0,0,0,0,0,0,2771,4993,885,2812
(not set),20130104,0,0,0,0,0,0,2804,4993,869,2681
(not set),20130105,0,0,0,0,0,0,2706,4534,959,2255
(not set),20130106,0,0,0,0,0,0,2837,4476,771,2320
(not set),20130107,0,0,0,0,0,0,3247,5608,1254,2992
(not set),20130108,0,0,0,0,0,0,3058,5460,951,2902
(not set),20130109,0,0,0,0,0,0,3107,5403,910,2837
(not set),20130110,0,0,0,0,0,0,2927,4911,902,2779
(not set),20130111,0,0,0,0,0,0,2960,5050,1008,2788
(not set),20130112,0,0,0,0,0,0,2558,4485,787,2410
(not set),20130113,0,0,0,0,0,0,2476,4444,680,2435
(not set),20130114,0,0,0,0,0,0,2878,5059,1099,3156
(not set),20130115,0,0,0,0,0,0,2902,5026,1181,2706
(not set),20130116,0,0,0,0,0,0,2714,5001,803,2894
(not set),20130117,0,0,0,0,0,0,2722,5075,1008,3050
(not set),20130118,0,0,0,0,0,0,2681,4886,1008,2755
(not set),20130119,0,0,0,0,0,0,2927,5149,1148,2665
(not set),20130120,0,0,0,0,0,0,2624,4640,803,2771
(not set),20130121,0,0,0,0,0,0,3189,5673,1008,3238
(not set),20130122,0,0,0,0,0,0,3148,5575,1156,3222
(not set),20130123,0,0,0,0,0,0,2943,5247,1000,3115
(not set),20130124,0,0,0,0,0,0,3115,5116,894,2976
(not set),20130125,0,0,0,0,0,0,2911,5050,1000,3025
(not set),20130126,0,0,0,0,0,0,2747,4526,812,2599
(not set),20130127,0,0,0,0,0,0,2697,4419,664,2419
(not set),20130128,0,0,0,0,0,0,3222,5632,1000,3279
(not set),20130129,0,0,0,0,0,0,3058,5280,853,3255
(not set),20130130,0,0,0,0,0,0,2804,5009,1058,2935
(not set),20130131,0,0,0,0,0,0,2738,4911,820,2968
(not set),20130201,0,0,0,0,0,0,2492,4312,762,2337
(not set),20130202,0,0,0,0,0,0,2378,4099,787,2402
(not set),20130203,0,0,0,0,0,0,2312,4050,853,2148
(not set),20130204,0,0,0,0,0,0,3230,5198,976,2927
(not set),20130205,0,0,0,0,0,0,3140,4878,967,3001
(not set),20130206,0,0,0,0,0,0,3042,5116,1049,2951
(not set),20130207,0,0,0,0,0,0,2976,5018,1033,2960
(not set),20130208,0,0,0,0,0,0,2550,4329,959,2501
(not set),20130209,0,0,0,0,0,0,2525,4140,680,2468
(not set),20130210,0,0,0,0,0,0,2353,3960,705,2263
(not set),20130211,0,0,0,0,0,0,3025,5214,943,3050
(not set),20130212,0,0,0,0,0,0,3025,5149,1107,3156
(not set),20130213,0,0,0,0,0,0,2845,4813,992,2648
(not set),20130214,0,0,0,0,0,0,2820,4591,795,2706
(not set),20130215,0,0,0,0,0,0,2738,4558,828,2730
(not set),20130216,0,0,0,0,0,0,2607,4599,648,2853
(not set),20130217,0,0,0,0,0,0,2722,4493,779,2681
(not set),20130218,0,0,0,0,0,0,3484,5657,779,3370
(not set),20130219,0,0,0,0,0,0,3337,5460,1008,3402
(not set),20130220,0,0,0,0,0,0,3165,5378,1025,3337
(not set),20130221,0,0,0,0,0,0,3042,5091,910,3173
(not set),20130222,0,0,0,0,0,0,2870,4985,894,2911
(not set),20130223,0,0,0,0,0,0,2451,4386,787,2468
(not set),20130224,0,0,0,0,0,0,2304,4009,549,2287
(not set),20130225,0,0,0,0,0,0,2878,4632,713,2812
(not set),20130226,0,0,0,0,0,0,3025,5280,935,2911
(not set),20130227,0,0,0,0,0,0,3050,5395,894,3222
(not set),20130228,0,0,0,0,0,0,3173,5247,869,3033
(not set),20130301,0,0,0,0,0,0,2722,4763,894,2681
(not set),20130302,0,0,0,0,0,0,2607,4337,803,2615
(not set),20130303,0,0,0,0,0,0,2542,4411,566,2394
(not set),20130304,0,0,0,0,0,0,2665,4886,869,2640
(not set),20130305,0,0,0,0,0,0,3722,5919,1107,2722
(not set),20130306,0,0,0,0,0,0,3657,6010,1000,2960
(not set),20130307,0,0,0,0,0,0,8633,13200,2583,4435
(not set),20130308,0,0,0,0,0,0,12626,19578,3780,7879
(not set),20130309,0,0,0,0,0,0,8650,13651,2951,6133
(not set),20130310,0,0,0,0,0,0,6354,10396,2164,5518
(not set),20130311,0,0,0,0,0,0,8830,13806,2870,5714
(not set),20130312,0,0,0,0,0,0,21144,28474,5247,5903
(not set),20130313,0,0,0,0,0,0,20939,30384,10371,5665
(not set),20130314,0,0,0,0,0,0,8961,15791,4960,5100
(not set),20130315,0,0,0,0,0,0,7289,13151,3648,5214
